Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кириленко,Еріка,Устимівна,Жіноча,1971-01-18,Ювелір,селище Миколаїв,"провулок Злакова, буд. 82 кв. 119, Енергодар, 52787",+380 87 444-59-20,stepan28@example.com
Башполченко,Євген,Давидович,Чоловіча,1951-06-30,Музикознавець,селище Кам'янка (Черкаська область),"парк Олександрійський, буд. 334, Вільногірськ, 11367",+380 (90) 848-18-15,rpiddubna@example.com
Худяк,Владислав,Леопольдович,Чоловіча,1969-06-12,Піаніст,село Іршава,"шосе Наявний 4-й, буд. 6 кв. 862, Яготин, 81942",+380 (90) 981-09-50,arsenmakarenko@example.com
Бабʼяк,Ярослав,Августинович,Чоловіча,2004-10-04,Акушер,селище Скалат,"площа Озерна, буд. 2, Городня, 81858",+380 70 955-96-56,ihormasokha@example.net
Пелех,Антон,Теодорович,Чоловіча,2003-04-01,Ді-джей,хутір Українськ,"вулиця 4-та Лінія Марії Демченко, буд. 5 кв. 9, Чорнобиль, 53433",018 617 29 19,iukhym36@example.net
Ткач,Прохір,Веніяминович,Чоловіча,1969-08-26,Математик,село Рава-Руська,"проспект Довженка, буд. 82 кв. 1, Обухів, 10356",041 775-57-89,wriaboshapka@example.com
Ґерус,Тетяна,Богодарівна,Жіноча,1957-03-15,Пекар,хутір Вараш,"проспект Лінія 45-та, буд. 065, Хрустальний, 48102",035 523-83-08,komardmytro@example.net
Швачка,Сергій,Демʼянович,Чоловіча,1977-11-05,Дипломат,селище Заставна,"набережна Кленова, буд. 468 кв. 6, Родинське, 14348",+380 87 988-54-74,venedykt26@example.com
Рева,Трохим,Панасович,Чоловіча,1955-09-14,Лікар,хутір Броди,"набережна Оранжерейний, буд. 2, Прип'ять, 54075",960 13 35,truban@example.com
Ящук,Пантелеймон,Орестович,Чоловіча,1975-02-19,Паралегал,селище Радивилів,"сквер Виноградна 2-га, буд. 894 кв. 33, Зіньків, 48378",038 14 17,spavlenko@example.com
Шаповал,Ігор,Трохимович,Чоловіча,1997-03-21,Гірник,місто Свалява,"вулиця Косовський, буд. 7, Деражня, 89904",105 91 10,andriishynvarfolomii@example.com
Гаврилюк,Юстим,Ігорович,Чоловіча,1979-08-08,Фармацевт,селище Алчевськ,"парк Селищна, буд. 7, Бахчисарай, 53770",+380 95 989-80-14,ieromenkookseniia@example.com
Верховинець,Алла,Глібівна,Жіноча,1964-07-03,Електротехнік,місто Прип'ять,"шосе Бібліотечна, буд. 3, Христинівка, 42406",241 80 38,tsisykemiliia@example.net
Рудик,Тимофій,Святославович,Чоловіча,1990-02-05,Електромонтажник,хутір Докучаєвськ,"вулиця Берегова, буд. 3, Селидове, 46327",+380 63 962 66 30,nbaida@example.org
Гавришкевич,Оксана,Мартинівна,Жіноча,1958-09-14,Різноробочий,місто Дубляни,"набережна Транспортна, буд. 49, Ірміно, 67788",+380 23 536-12-82,mamchurborys@example.net
Деревʼянко,Леонід,Віталійович,Чоловіча,1958-07-26,Мовознавець,місто Багачеве,"парк Чубаївський, буд. 0 кв. 31, Бровари, 89783",031 263 46 86,pmasliak@example.org
Їжак,Віра,Борисівна,Жіноча,1940-05-14,Кур'єр,село Пологи,"площа Пересипський 1-й, буд. 780 кв. 20, Заводське, 18477",009 921-34-41,volodymyr87@example.net
Шелест,Богдан,Яковович,Чоловіча,1973-10-31,Намотувальник,хутір Мала Виска,"вулиця Троїцька, буд. 77 кв. 79, Рава-Руська, 90230",+380 (17) 839-95-29,drozdarkadii@example.org
Чумаченко,Анжела,Орхипівна,Жіноча,1988-02-22,Вчитель,хутір Чорноморськ,"площа Траса Здоров'я, буд. 806 кв. 431, Шахтарське, 05910",+380 (65) 224-01-58,iukhym74@example.org
Швайка,Мирослав,Едуардович,Чоловіча,1968-02-08,Футболіст,хутір Старобільськ,"провулок Ванний, буд. 26, Подільськ, 96624",523 79 79,odarkaromanets@example.net
Мазепа,Едита,Едуардівна,Жіноча,1996-03-07,Мовознавець,хутір Ічня,"набережна Партизанської слави, буд. 89, Знам'янка, 55098",623 90 58,ezabila@example.com
Штокало,Ольга,Гаврилівна,Жіноча,1947-01-17,Намотувальник,село Вільногірськ,"набережна Острозька, буд. 4, Сокаль, 86937",089 382-76-86,edytabebeshko@example.com
Забарна,Богданна,Гордіївна,Жіноча,1988-08-15,Електрик,село Рені,"вулиця Акордна, буд. 4 кв. 89, Дніпрорудне, 45153",+380 82 414-67-79,nestor71@example.org
Вітер,Олена,Віталіївна,Жіноча,1974-12-08,Мінералог,селище Шаргород,"набережна Миколи Плигуна, буд. 70, Миколаївка, 06998",+380 (72) 638-02-23,kamilladanko@example.com
Левченко,Ярослава,Геннадіївна,Жіноча,1974-12-19,Історик,село Гадяч,"узвіз Матюшенка, буд. 53 кв. 74, Гірське, 58309",432-65-55,tesliaboryslav@example.org
Рудько,Марʼяна,Августинівна,Жіноча,1978-04-30,Модель,селище Кобеляки,"сквер Віри Інбер, буд. 57 кв. 7, Покров, 36591",080 252 36 77,kmalyk@example.com
Міщенко,Єва,Климентівна,Жіноча,1997-10-13,Дизайнер,хутір Миронівка,"шосе Саймона Літмана, буд. 5, Петрово-Красносілля, 88985",027 571 77 55,datsiukmaksym@example.org
Джус,Дан,Семенович,Чоловіча,2006-09-23,Кінолог,селище Монастирище,"вулиця Пішонівська, буд. 038, Балаклія, 46077",+380 97 937-47-83,ilienkovladyslav@example.com
Шеремет,Валерій,Давидович,Чоловіча,2000-01-29,Антрополог,місто Свалява,"шосе Сталепрокатна, буд. 30, Покров, 18319",+380 18 759 89 81,rostyslav16@example.com
Скорик,Еріка,Устимівна,Жіноча,1940-05-18,Піаніст,селище Сокаль,"вулиця Текстильників, буд. 15, Підгайці, 09181",+380 52 430-58-80,hennadiinosachenko@example.com
Гайда,Гордій,Геннадійович,Чоловіча,1973-02-21,Юрист,хутір Моспине,"набережна Приморський, буд. 757, Чернігів, 80568",058 101 54 08,pshyian@example.com
Негода,Дарина,Юхимівна,Жіноча,1941-01-02,Астрофізик,місто Вінниця,"шосе Героїв прикордонників, буд. 2 кв. 6, Харцизьк, 26549",+380 (91) 184-70-91,okhrim53@example.net
Бандера,Руслан,Богданович,Чоловіча,2003-09-03,Маркетолог,село Липовець,"площа Штабний, буд. 114, Вашківці, 28166",281-75-17,halyna78@example.com
Єрченко,Алла,Геннадіївна,Жіноча,1954-10-11,Гицель,село Балаклія,"вулиця Овідіопольська дуга, буд. 12, Підгайці, 05638",072 765 74 28,gerusihnat@example.net
Гупало,Яків,Алевтинович,Чоловіча,2004-09-08,Конструктор,хутір Очаків,"узвіз Героїв УПА, буд. 374 кв. 18, Привілля, 52244",047 378-24-58,idanyliuk@example.com
Гавриш,Любов,Назарівна,Жіноча,1981-06-06,Програміст,хутір Білозерське,"площа Бугаївська, буд. 8 кв. 59, Бровари, 36938",030 186-17-55,borysiatseniuk@example.net
Гук,Ярина,Кирилівна,Жіноча,1959-08-07,Мірошник,місто Бердичів,"сквер Трудова, буд. 075, Жданівка, 63240",+380 50 775-23-56,vira39@example.org
Деревʼянко,Маруся,Павлівна,Жіноча,1967-08-31,Художник,село Кіцмань,"проспект Дніпровська, буд. 2 кв. 002, Старобільськ, 48270",043 768-74-82,haidahalyna@example.org
Давиденко,Орися,Устимівна,Жіноча,1951-10-16,Складальник,хутір Бердянськ,"набережна Льва Симиренка, буд. 23 кв. 5, Жовті Води, 88152",530 71 61,bohuslavabandera@example.net
Данилюк,Зорян,Тарасович,Чоловіча,1968-08-22,Правник,хутір Харцизьк,"узвіз Ждахи, буд. 78 кв. 9, Здолбунів, 46641",732 22 38,levkokabaliuk@example.net
Забара,Емілія,Максимівна,Жіноча,1989-07-19,Кушнір,село Алупка,"провулок Депутатський, буд. 426, Хоростків, 14323",961-75-69,aaronshvedchenko@example.com
Гайдай,Ярина,Борисівна,Жіноча,1978-09-02,Хореограф,місто Шахтарськ,"сквер Аеропортівський 5-й, буд. 466, Косів, 64653",+380 (87) 903-92-63,avhustyn00@example.com
Юрченко,Левко,Яремович,Чоловіча,1982-03-18,Складальник,місто Деражня,"узвіз Лузанівська, буд. 1 кв. 1, Кадіївка, 42761",+380 38 002-26-83,ostapasaula@example.org
Рубець,Марко,Васильович,Чоловіча,1955-04-12,Нотаріус,селище Кривий Ріг,"шосе Куниці, буд. 10, Лиман, 52723",012 942 60 11,kmalyk@example.org
Баранник,Дарина,Мирославівна,Жіноча,2003-05-12,Публіцист,село Кременчук,"площа Осипова, буд. 5 кв. 65, Ананьїв, 15536",013 650 38 77,khrystynaiashchuk@example.net
Шаповал,Гордій,Максимович,Чоловіча,2008-03-26,Фармацевт,хутір Тлумач,"набережна Матюшенка, буд. 6, Чорноморськ, 47982",+380 00 473 38 60,piatachenkoviktoriia@example.com
Яценюк,Ярослава,Валеріївна,Жіноча,1974-09-26,Перекладач,селище Бобровиця,"вулиця Літній, буд. 5 кв. 792, Кадіївка, 05061",+380 69 074 26 70,priska94@example.net
Дацюк,Данило,Русланович,Чоловіча,1960-12-29,Графік,село Маріуполь,"сквер 9-та Лінія Дачі Ковалевського, буд. 01, Ворожба, 86188",+380 18 527-59-08,dromanchuk@example.org
Притула,Пармен,Ааронович,Чоловіча,1955-04-06,Круп'є,місто Сімферополь,"парк Миколи Бурачека, буд. 030, Новий Калинів, 80155",+380 (80) 531-10-92,iustymdzyndra@example.net
Проценко,Франц,Давидович,Чоловіча,1945-04-28,Різноробочий,селище Судак,"площа Каштанова, буд. 07 кв. 561, Семенівка, 74796",+380 07 830-88-17,isahal@example.org
Гавриленко,Ярина,Гордіївна,Жіноча,1976-10-29,Історик,селище Львів,"узвіз Костанді, буд. 124 кв. 900, Рахів, 97609",555-22-55,valentyn09@example.net
Левченко,Миколай,Симонович,Чоловіча,1987-11-23,Ді-джей,селище Докучаєвськ,"проспект Бориса Літвака, буд. 14, Лисичанськ, 25705",+380 22 624-93-52,jbaklan@example.net
Кащенко,Арсен,Павлович,Чоловіча,2008-11-20,Бізнесмен,селище Моршин,"провулок Архітектурна, буд. 8, Чоп, 78027",014 064 19 67,ssliusar@example.com
Матвієнко,Опанас,Георгійович,Чоловіча,1966-12-29,Вчитель,село Святогірськ,"узвіз Херсонський, буд. 72 кв. 17, Городок, 76640",+380 (93) 705-19-77,avrelii29@example.net
Бабиченко,Аліна,Тимофіївна,Жіноча,1991-04-11,Патологоанатом,хутір Хмільник,"шосе Студентський 5-й, буд. 009, Вижниця, 60588",036 017-30-00,symon24@example.net
Вишиваний,Захар,Панасович,Чоловіча,1952-06-04,Ювелір,місто Мерефа,"парк Баринштейна, буд. 82, Ровеньки, 99901",+380 (73) 527-39-30,verkholaadam@example.com
Зінкевич,Євген,Ігорович,Чоловіча,1988-07-24,Електротехнік,село Винники,"площа Побратимів, буд. 31, Глухів, 49223",+380 03 399-37-59,albert75@example.org
Черненко,Альбіна,Соломонівна,Жіноча,1982-09-05,Біолог,село Путивль,"площа Студентський 5-й, буд. 2 кв. 255, Глиняни, 04966",073 331-04-01,iaroslava13@example.com
Олійник,Аніта,Пилипівна,Жіноча,1966-02-03,Головний меркшейдер,хутір Луганськ,"проспект Лютнева, буд. 1, Зіньків, 64145",+380 03 567-35-23,svitlanaazhazha@example.net
Венгринович,Омелян,Демʼянович,Чоловіча,1955-10-17,Адвокат,місто Південне,"парк Артура Савельєва, буд. 86 кв. 72, Кривий Ріг, 36175",+380 02 824-88-11,panteleimon85@example.com
Лемешко,Ярема,Симонович,Чоловіча,1975-07-08,Кінокритик,село Благовіщенське,"шосе Літературна, буд. 062, Зимогір'я, 04059",+380 (90) 589-16-65,vasylynafartushniak@example.net
Черінько,Лукʼян,Яковович,Чоловіча,1997-09-24,Няня,селище Кіцмань,"вулиця Центральна, буд. 49, Трускавець, 61344",944 95 59,rostyslavbandurka@example.net
Андрієвич,Юхим,Зорянович,Чоловіча,1947-02-28,Машиніст,селище Ромни,"проспект Радіальна, буд. 59 кв. 41, Гайсин, 67578",269 17 46,khrystynarudko@example.com
Байрак,Соломон,Тарасович,Чоловіча,1972-04-17,Ювелір,селище Моспине,"шосе Травневий 2-й, буд. 116 кв. 39, Докучаєвськ, 69449",970-93-43,zlatoslavachmil@example.com
Худобʼяк,Вікторія,Павлівна,Жіноча,1949-01-13,Дерун,селище Чистякове,"набережна Льва Симиренка, буд. 87 кв. 7, Ходорів, 90589",112 73 66,anitadankiv@example.org
Оберемко,Мирон,Кирилович,Чоловіча,1990-10-05,Ювелір,селище Хотин,"проспект Галини Могильницької, буд. 942, Сколе, 64435",+380 (53) 102-49-96,heorhii42@example.com
Артимишина,Вікторія,Яремівна,Жіноча,1940-03-26,Головний меркшейдер,селище Кривий Ріг,"площа Балтський 6-й, буд. 9 кв. 398, Тростянець, 63073",691 42 79,viktor26@example.com
Дейнеко,Вʼячеслав,Георгійович,Чоловіча,1961-02-10,Електромонтер,селище Заліщики,"вулиця Князівська, буд. 669, Олешки, 78641",+380 84 715-68-86,dashkevycholeh@example.net
Кальченко,Орися,Миронівна,Жіноча,1966-10-15,Вчитель,село Угнів,"узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 0 кв. 7, Дніпро, 28411",194-42-95,kalenychenkoadam@example.net
Дуплій,Демид,Юхимович,Чоловіча,1955-09-08,Машиніст,місто Джанкой,"вулиця Обільна, буд. 55 кв. 81, Старий Самбір, 53567",674 01 24,iriabovil@example.com
Дацюк,Орися,Васильівна,Жіноча,1991-09-12,Математик,село Знам'янка,"узвіз Абрикосова, буд. 13, Угнів, 70271",956 21 09,tartiukh@example.org
Барабаш,Тетяна,Єлисеївна,Жіноча,2008-01-11,Літературознавець,місто Благовіщенське,"парк Матеріальний 1-й, буд. 500, Харцизьк, 15613",+380 06 573 49 02,candrusenko@example.org
Цюцюра,Олег,Амвросійович,Чоловіча,2003-12-22,Електромонтер,селище Винники,"узвіз Садова 1-ша, буд. 173, Вуглегірськ, 17577",092 192 61 42,iustym67@example.com
Байда,Арсен,Едуардович,Чоловіча,1968-12-06,Зоолог,місто Білицьке,"шосе Грушева, буд. 98 кв. 9, Довжанськ, 50638",050 740-50-12,oholyk@example.net
Адамчук,Пармен,Несторович,Чоловіча,1962-06-12,Зоолог,село Кам'янка-Бузька,"парк Таїрова, буд. 23 кв. 495, Мостиська, 28709",+380 36 671 21 06,baranmyroslav@example.com
Христенко,Адам,Макарович,Чоловіча,1980-08-02,Хімік,місто Міусинськ,"узвіз Семінарська, буд. 63, Лебедин, 69619",052 161-90-90,oksana88@example.net
Ярема,Орхип,Пантелеймонович,Чоловіча,2007-09-20,Астрофізик,хутір Новоселиця,"набережна Східний 2-й, буд. 9 кв. 8, Острог, 63401",035 101-46-36,hhavrylets@example.net
Лагода,Богдан,Захарович,Чоловіча,1943-03-18,Економіст,село Чистякове,"набережна Героїв УПА, буд. 886, Новий Калинів, 08290",705 80 40,somkohanna@example.com
Алексійчук,Зиновій,Устимович,Чоловіча,1978-12-25,Журналіст,селище Деражня,"парк Скрипковий, буд. 839 кв. 87, Тальне, 36084",511 14 38,okseniia13@example.org
Лукаш,Валентин,Глібович,Чоловіча,1946-01-01,Публіцист,хутір Лисичанськ,"набережна Базарна, буд. 3 кв. 147, Надвірна, 05288",898-91-61,korolenkoarkadii@example.net
Данильчук,Альбіна,Юхимівна,Жіноча,1998-12-27,Мірошник,селище Мукачево,"проспект Чубаївський, буд. 56 кв. 167, Берислав, 49640",+380 02 318-79-01,khrystynakhudiak@example.net
Гречаник,Симон,Кирилович,Чоловіча,1988-10-30,Палеонтолог,селище Енергодар,"вулиця Проектна 2-га, буд. 58, Славутич, 78850",159-70-13,mykolainehoda@example.org
Архимович,Юстина,Лукʼянівна,Жіноча,1990-10-09,Музичний редактор,хутір Остер,"вулиця Хотинський, буд. 337 кв. 5, Балаклія, 39456",+380 (81) 785-64-99,okhrim15@example.com
Тимчук,Ігнат,Валентинович,Чоловіча,1976-01-14,Штукатур,село Тараща,"проспект Йосипа Тимченка, буд. 6 кв. 90, Почаїв, 92607",+380 74 127 65 01,pakulenko@example.org
Слюсар,Устим,Єлисейович,Чоловіча,1983-09-30,Паралегал,хутір Вишневе,"проспект Віри Холодної, буд. 790, Полтава, 19543",+380 48 125 39 45,udovychenkoliubov@example.com
Пʼятаченко,Софія,Леонтіївна,Жіноча,1986-03-18,Гицель,село Городок,"проспект Героїв прикордонників, буд. 09 кв. 29, Малин, 21998",185-67-05,spashavrylenko@example.org
Василашко,Сніжана,Опанасівна,Жіноча,1979-10-16,Графік,село Черкаси,"сквер Пантелеймонівська, буд. 180 кв. 36, Алмазна, 11946",+380 18 498-02-60,pkarpenko@example.net
Саєнко,Амвросій,Ігнатович,Чоловіча,1984-04-06,Біолог,місто Ялта,"сквер Осіння, буд. 416 кв. 4, Вільногірськ, 85892",+380 06 448 57 42,rubanroman@example.org
Бабак,Мирослав,Амвросійович,Чоловіча,1965-08-23,Провізор,селище Вилкове,"набережна Володимира Хавкіна, буд. 457, Городище, 05636",029 408-04-98,drobakhaiaroslava@example.net
Саєнко,Федір,Охрімович,Чоловіча,1967-04-17,Етнограф,село Шаргород,"вулиця Слов'янська, буд. 5 кв. 983, Дергачі, 84559",635-01-43,adam89@example.org
Давимука,Гліб,Євгенійович,Чоловіча,2001-12-14,Публіцист,селище Докучаєвськ,"сквер Пересипський 1-й, буд. 56, Мена, 18157",+380 36 454-51-07,anton08@example.com
Тимченко,Костянтин,Теодорович,Чоловіча,1943-09-14,Педагог,хутір Сватове,"площа Вапняне селище, буд. 386 кв. 3, Люботин, 58890",+380 (12) 837-84-62,heorhiiderehus@example.net
Стельмах,Георгій,Стефанович,Чоловіча,1953-02-18,Історик,хутір Сміла,"шосе Танфільєва, буд. 067 кв. 82, Кам'янець-Подільський, 78200",+380 10 183-88-53,levkochumachenko@example.com
Андрощук,Вадим,Олегович,Чоловіча,1996-03-09,Секретар,місто Бучач,"парк Сьома, буд. 2 кв. 907, Волноваха, 09110",+380 26 230-46-22,azarverkhola@example.net
Базилевський,Микита,Георгійович,Чоловіча,1982-11-18,Географ,село Каховка,"узвіз Студентський 2-й, буд. 65, Золотоноша, 70409",501 50 55,huzfrants@example.org
Василенко,Дан,Григорійович,Чоловіча,1969-11-26,Продюсер,місто Липовець,"набережна Сонячна, буд. 30, Теплодар, 43338",+380 (96) 596-89-10,csamoilenko@example.com
Пелех,Аніта,Болеславівна,Жіноча,2000-06-29,Кінокритик,місто Миргород,"провулок Платанова, буд. 35 кв. 65, Жовті Води, 43553",+380 (69) 256-78-35,pavlo26@example.com
Конопля,Ада,Гордіївна,Жіноча,1947-12-21,Скульптор,селище Сорокине,"парк Деревообробна, буд. 647 кв. 7, Чорноморськ, 95238",430-89-83,oleksandr84@example.com
Козак,Олекса,Ігнатович,Чоловіча,1983-09-07,Палеонтолог,селище Городище,"проспект Пересипська 5-та, буд. 18, Гребінка, 86592",077 204-22-46,fpetrenko@example.com
Вітрук,Ростислав,Бориславович,Чоловіча,1999-10-02,Клоун,місто Біла Церква,"сквер Дельфін, буд. 82 кв. 3, Шахтарське, 78483",073 534 85 91,leonid55@example.com
Шморгун,Марина,Григоріївна,Жіноча,1981-05-28,Ювелір,місто Заводське,"шосе Віталія Нестеренка, буд. 85 кв. 240, Косів, 51606",042 189 93 58,zhrytsenko@example.org
Венгринович,Пріска,Романівна,Жіноча,1979-12-14,Мінералог,місто Моршин,"сквер 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 2, Тульчин, 95875",+380 52 601 81 80,orysiaishchenko@example.net
Вертипорох,Марія,Орестівна,Жіноча,1977-12-18,Педагог,село Березань,"шосе Черкаська, буд. 595 кв. 9, Глухів, 58117",+380 (88) 348-93-89,lukian88@example.com
Демʼяненко,Олекса,Вадимович,Чоловіча,1943-09-20,Астрофізик,місто Саки,"провулок Трояндова, буд. 22, Миколаїв, 24004",261 69 22,mdemianenko@example.com
Юрчишина,Аліна,Тарасівна,Жіноча,1946-05-25,Історик,хутір Лисичанськ,"парк Соляний 1-й, буд. 86, Надвірна, 06326",073 318-68-00,okhrimenkovasyl@example.org
Малишко,Ганна,Богуславівна,Жіноча,1986-04-13,Футболіст,хутір Авдіївка,"набережна Учительський, буд. 85 кв. 57, Городня, 81385",+380 88 803 21 55,stepanbandurka@example.com
Худобʼяк,Алевтин,Орхипович,Чоловіча,1979-12-06,Сценарист,село Покров,"вулиця Олександра Богомольця, буд. 534 кв. 4, Тлумач, 02720",+380 01 552 74 03,violettavlasenko@example.org
Оберемко,Омелян,Ігорович,Чоловіча,1976-08-03,Круп'є,селище Бахмут,"провулок Розумовський 1-й, буд. 85 кв. 1, Рубіжне, 25814",+380 31 517 22 34,tsalii@example.org
Їжак,Святослава,Гаврилівна,Жіноча,1988-03-13,Візажист,село Гуляйполе,"проспект Нафтовиків 1-й, буд. 418, Галич, 24836",858 32 94,barabashonysym@example.org
Бгиденко,Віолетта,Васильівна,Жіноча,2007-04-21,Єгер,хутір Зборів,"вулиця Андреєвського, буд. 00, Бунге, 17489",770 19 27,kabanenkoalla@example.org
Непорожній,Гаврило,Семенович,Чоловіча,2000-11-20,Гицель,хутір Теребовля,"сквер Молодіжна, буд. 186, Судак, 93376",+380 (48) 508-46-60,skybakamilla@example.net
Дахно,Віталій,Устимович,Чоловіча,1983-09-14,Геолог,село Чорноморськ,"провулок Мостовий, буд. 134, Бахмач, 26975",038 508-36-11,opanasandrusenko@example.com
Венгринович,Аркадій,Стефанович,Чоловіча,1987-07-22,Бібліограф,село Мала Виска,"провулок Бузковий 2-й, буд. 9, Дубляни, 64151",+380 (27) 485-55-67,vdeisun@example.net
